ID,Prediction
A6H5M2,OTHER
P0DJJ1,OTHER
P54835,OTHER
Q6EW69,OTHER
P81346,OTHER
Q9MS73,OTHER
Q6QLR3,SP
P0DV61,OTHER
O08950,OTHER
P82897,OTHER
P00980,OTHER
P81695,OTHER
P10082,SP
P38577,OTHER
C1KIZ0,SP
O04468,SP
P0C2C6,OTHER
P0C828,SP
Q3ZJ21,OTHER
P84709,OTHER
P11952,OTHER
C5J895,SP
B3H4X8,OTHER
P82021,OTHER
C0HK26,SP
Q32RT4,OTHER
P0CV02,LIPO
P82840,OTHER
P0DPH6,SP
P33764,OTHER
P41549,OTHER
P86351,OTHER
P95694,OTHER
P83177,OTHER
P33954,OTHER
O77463,SP
P14472,OTHER
A0A0J9YWP8,OTHER
P85359,OTHER
P08580,OTHER
P73429,OTHER
Q3ZJ88,OTHER
P86343,OTHER
P46688,SP
P43497,SP
Q85C28,OTHER
P0DP97,OTHER
A7VN14,SP
A0A6B9KZ79,SP
Q9Y813,OTHER
B5LMP5,OTHER
P0DL77,SP
B3EWF8,SP
P82742,OTHER
Q3ECR7,OTHER
P31963,OTHER
Q85G72,OTHER
P0DTV3,OTHER
Q9LHJ3,OTHER
P0C1M6,OTHER
P59367,SP
Q9TL19,OTHER
P0CE35,SP
Q6CQE5,OTHER
P86160,OTHER
P86126,OTHER
A0A075B706,OTHER
P08958,OTHER
P05611,OTHER
P81163,OTHER
P82599,OTHER
O71191,OTHER
P82656,OTHER
P0C7B1,OTHER
P83999,OTHER
P73563,OTHER
P55938,OTHER
P0DPT4,SP
A8Y7P1,SP
F8J2F6,SP
P81083,OTHER
P0DM79,OTHER
P01384,SP
P04158,SP
P00107,OTHER
P28878,OTHER
P18313,SP
C0H690,SP
Q80H93,OTHER
P17339,OTHER
B0YPQ0,OTHER
C0HJJ8,OTHER
P0C1P6,OTHER
O75394,OTHER
P59072,OTHER
P84473,OTHER
P28807,OTHER
P0DSL7,OTHER
A6MMW5,OTHER
P21808,SP
B7K1L1,OTHER
P01451,OTHER
P23137,SP
P80770,OTHER
O03978,OTHER
P76169,OTHER
C0HKG4,OTHER
Q85FP4,OTHER
C0HK87,OTHER
P58782,OTHER
P36339,OTHER
Q8MXU4,OTHER
P56768,OTHER
C0H3U2,OTHER
Q9PSM2,OTHER
P17590,OTHER
Q7Y618,OTHER
Q9VYX1,OTHER
P83449,OTHER
G2TRP7,OTHER
Q85WV9,OTHER
P31262,OTHER
P42129,OTHER
Q91X13,SP
Q27176,OTHER
P09688,OTHER
P00994,OTHER
Q9GLQ2,OTHER
P22385,OTHER
P0DPQ0,OTHER
A0A3G3C7V7,SP
Q6EYH5,OTHER
P60316,OTHER
P85061,OTHER
P32185,OTHER
Q1I176,OTHER
P0C1W8,OTHER
C0HLN5,OTHER
P85444,OTHER
P03715,OTHER
P56244,OTHER
P08871,OTHER
Q86RA3,SP
P13501,SP
Q85WY6,OTHER
P69851,OTHER
B0BYQ1,OTHER
P14462,OTHER
Q8SL87,OTHER
P85055,OTHER
P81463,OTHER
P00237,OTHER
P72281,OTHER
P56551,LIPO
P0DQV5,OTHER
A0A125S9G2,SP
P84115,OTHER
Q5UP30,OTHER
Q9BXV9,OTHER
Q4G3B8,OTHER
P0DX59,OTHER
P25683,OTHER
B7KAA7,OTHER
P80301,OTHER
B7GI77,OTHER
Q779L9,OTHER
Q8DIN9,OTHER
P26738,SP
P82317,OTHER
P07108,OTHER
Q0G9J8,OTHER
P58930,OTHER
P62562,OTHER
Q1QT72,OTHER
Q88424,OTHER
P0A106,OTHER
P34190,OTHER
P83895,OTHER
Q5D704,OTHER
B6HY16,SP
P50115,OTHER
O63902,OTHER
P0DQJ9,OTHER
P56976,OTHER
O55074,OTHER
P80274,OTHER
O43927,SP
Q25BI5,OTHER
P17237,OTHER
Q8K3D3,OTHER
A0A0U1RRE5,OTHER
P86620,OTHER
C0HL88,OTHER
P83430,OTHER
P0DXW7,SP
Q9LJQ9,OTHER
P83640,OTHER
Q01572,OTHER
P0C2K4,OTHER
Q5JIY5,OTHER
P32560,OTHER
P25404,SP
P35490,OTHER
B7JYE8,OTHER
P0CC16,OTHER
Q9XZL1,SP
P09692,OTHER
P60590,SP
C0HLE0,OTHER
P00048,OTHER
P81753,OTHER
P84340,OTHER
P37857,OTHER
Q9EPS2,SP
P85115,OTHER
P0CI05,OTHER
Q85FV9,OTHER
C0HL71,OTHER
P82041,OTHER
P0DN15,SP
Q9DG58,SP
Q5SD34,OTHER
B0SR19,OTHER
P51224,OTHER
P83546,OTHER
A6H5K3,OTHER
A4GYU5,OTHER
Q9C0X0,OTHER
P20739,OTHER
Q32RS1,OTHER
P82443,OTHER
Q06RC9,OTHER
P61231,OTHER
P0CV35,OTHER
A8W3I0,OTHER
P86121,OTHER
P80393,OTHER
Q95WC9,SP
Q3V2T4,SP
P80835,OTHER
P05600,OTHER
P34075,OTHER
C9JLW8,OTHER
P56472,OTHER
P30034,OTHER
Q9TLV5,OTHER
P0DSL8,OTHER
P0DL75,SP
P82832,OTHER
Q1XDS2,OTHER
P58583,OTHER
P00991,SP
Q13794,OTHER
Q8VUS8,OTHER
P21857,OTHER
D6X268,OTHER
O24332,SP
P69937,OTHER
P0CJ40,OTHER
A0A0C5B5G6,OTHER
P01371,OTHER
P69776,LIPO
Q95Y72,OTHER
P0DL01,OTHER
P0C168,OTHER
Q8KPP1,OTHER
P0CH88,OTHER
Q9XGX9,OTHER
Q63064,SP
P15516,SP
P41869,OTHER
P80980,OTHER
P81527,OTHER
P81896,OTHER
P50071,OTHER
P06372,OTHER
X5IWT5,SP
O42413,SP
A0A3G3C7U2,SP
P82836,OTHER
B1P1F5,SP
P80416,OTHER
P0DP16,OTHER
P01431,OTHER
Q9TKX8,OTHER
P86371,OTHER
A0A125S9E6,SP
P01421,OTHER
O94724,OTHER
Q19V80,OTHER
Q9PSJ0,OTHER
P85445,OTHER
P83220,OTHER
P69007,OTHER
O53077,OTHER
Q9MUP4,OTHER
Q39084,OTHER
P0C615,OTHER
P34781,OTHER
P58787,SP
P41867,OTHER
P0DTD8,OTHER
P41613,OTHER
Q5D232,SP
Q9BAC5,OTHER
P0DKQ3,SP
P0C8T0,OTHER
Q9TLR9,OTHER
P01560,OTHER
P85910,OTHER
P84588,OTHER
D2Y171,SP
Q7M463,OTHER
Q8SL91,OTHER
P80496,OTHER
Q3E7B6,OTHER
C0HKZ8,OTHER
P15421,SP
Q3E840,OTHER
P24013,OTHER
Q6B8W4,OTHER
I0HUL6,OTHER
C0HJY5,OTHER
Q20F18,OTHER
P02677,OTHER
P0CV87,OTHER
P55749,OTHER
P0DM49,OTHER
P52256,OTHER
Q6WQI6,OTHER
P03618,OTHER
P41599,OTHER
P36235,OTHER
P60975,OTHER
Q5N1F0,OTHER
O70791,OTHER
P83240,OTHER
P15837,OTHER
P81626,OTHER
P82339,OTHER
P81373,OTHER
P35179,OTHER
O97385,SP
P36215,OTHER
Q9PS48,OTHER
P18024,OTHER
P84016,OTHER
P0CV32,SP
P85113,OTHER
P85410,OTHER
P0DJ31,OTHER
P82298,OTHER
P0CH75,OTHER
Q8WI18,OTHER
P49503,OTHER
A0A6M3Z541,SP
P56391,OTHER
Q9IAU2,SP
Q35584,OTHER
Q9USR7,OTHER
C0HK89,OTHER
P19859,OTHER
P84038,OTHER
A8W3K4,OTHER
A0T0T9,OTHER
P0C8D2,OTHER
P41651,OTHER
A6MMQ2,OTHER
A0A1X9QHL1,SP
B3EWT4,OTHER
P84794,OTHER
B8YB63,OTHER
Q9XMI9,OTHER
P85093,OTHER
P82078,OTHER
P80780,OTHER
Q3YEE8,SP
P9WP57,OTHER
P18865,OTHER
P86258,OTHER
P0CJ29,OTHER
Q801Y3,SP
P06514,OTHER
P52239,OTHER
P0C161,OTHER
P00226,OTHER
P0A4M4,OTHER
P0DSI5,SP
P0DJP8,OTHER
P0DPV4,SP
P56249,SP
O19894,OTHER
A0A1W6EVM7,SP
P80406,OTHER
Q09022,SP
P80984,OTHER
Q46386,OTHER
P22688,OTHER
P19173,OTHER
P56918,OTHER
P56738,OTHER
P83451,OTHER
P12507,OTHER
P15341,OTHER
P0C468,OTHER
A0A2K4Z9J5,OTHER
Q4G371,OTHER
P0ACV4,OTHER
P01434,OTHER
Q65204,OTHER
P04032,SP
P82301,OTHER
P83441,OTHER
A0A2L0ART2,SP
P0C8I9,OTHER
Q9BBP7,OTHER
Q07425,SP
P80812,OTHER
P0DM46,OTHER
H1ZZI4,SP
P64581,OTHER
Q08628,OTHER
P20304,OTHER
P0CI41,OTHER
P0DQJ7,OTHER
P41321,OTHER
P82389,SP
P85874,OTHER
P15504,OTHER
P01262,OTHER
Q9IA10,SP
Q6EW35,OTHER
P0CH49,OTHER
S4UJW3,SP
P55966,OTHER
Q9P7L9,OTHER
Q9SAF8,OTHER
P0CE28,SP
P01326,SP
P16965,OTHER
O00453,OTHER
P81149,OTHER
P82907,OTHER
P04124,OTHER
P0DPC4,OTHER
P04612,OTHER
P0CC11,OTHER
P86690,OTHER
Q5RFG9,OTHER
P0DTV4,OTHER
P0CD68,OTHER
Q7M290,OTHER
Q6B931,OTHER
Q9P7E0,OTHER
P67788,SP
P24777,OTHER
G1TZ76,OTHER
B7FDP2,SP
O94251,OTHER
Q9W7K0,SP
A4QJQ7,OTHER
P82601,OTHER
P82418,OTHER
A0A075B6Y9,OTHER
P22975,OTHER
Q2RQ23,OTHER
P69555,OTHER
C1KIZ3,SP
C0HKQ1,OTHER
Q2VEF7,OTHER
Q7TNV7,SP
P0DM28,OTHER
A0A369,OTHER
C0HL57,OTHER
Q75JK6,OTHER
P52656,OTHER
P52926,OTHER
P0CD67,OTHER
Q9NRI6,SP
P0A9L5,OTHER
Q09X35,OTHER
P35518,OTHER
P12521,OTHER
O78425,OTHER
D6C4I9,SP
Q7VDR4,OTHER
P80779,OTHER
Q9BTM9,OTHER
P09353,OTHER
Q9FFS4,OTHER
Q9MUM6,OTHER
P86354,OTHER
P82439,OTHER
O82275,OTHER
P0C1B7,OTHER
Q65J28,OTHER
B7K625,OTHER
P0DMA1,OTHER
A0S864,SP
Q71KP7,OTHER
P18686,OTHER
P0CH89,OTHER
Q03440,OTHER
P0AET2,SP
P26887,OTHER
P08613,OTHER
P0DRB0,OTHER
P0DJB2,OTHER
Q03512,OTHER
Q7LZF6,OTHER
Q9MUL8,OTHER
P32879,OTHER
A5GNP1,OTHER
Q95WD1,SP
Q6B4T4,SP
P83562,SP
P84003,OTHER
P85042,OTHER
Q92374,OTHER
P04039,OTHER
P00108,OTHER
O78424,OTHER
P42053,OTHER
P0CD70,OTHER
O78461,OTHER
Q20EX4,OTHER
P33714,OTHER
P0DJI6,OTHER
Q32067,OTHER
Q9TWM7,SP
P69210,OTHER
P15416,SP
Q8R400,OTHER
P56641,OTHER
B3EWU5,OTHER
P0DPU7,SP
P0C8J4,OTHER
O74837,OTHER
P35758,OTHER
P84286,OTHER
P80848,OTHER
P41989,OTHER
P19054,OTHER
P80822,OTHER
Q9XZH0,SP
A7VN13,SP
P85066,OTHER
O75920,OTHER
P80453,OTHER
Q8BT20,SP
Q9BSF0,OTHER
Q0P3P5,OTHER
P0DM68,SP
P0DSL0,OTHER
P27751,OTHER
O08546,SP
B7KL15,OTHER
A0T0V7,OTHER
Q7WY65,OTHER
O31718,OTHER
P00211,OTHER
A0A6G9KHE4,SP
Q0ZIX8,OTHER
A0A6B9KZ83,SP
P46157,SP
P18399,OTHER
P82436,OTHER
P69067,OTHER
P85357,OTHER
P68660,OTHER
P00858,OTHER
P11540,OTHER
Q36838,OTHER
Q0VAQ4,OTHER
C0HLA4,OTHER
C0HL39,OTHER
P0DL40,OTHER
P01539,OTHER
P09982,OTHER
O97373,SP
P61961,OTHER
F5CPE2,SP
P26888,OTHER
A0A1R3S3A8,SP
P84472,OTHER
Q9TLU7,OTHER
Q9D915,OTHER
P0DSM0,OTHER
C0HK09,OTHER
O97686,SP
Q0G9F6,OTHER
P86567,OTHER
P52221,OTHER
P0DJR2,OTHER
P0DMR9,OTHER
P0DJN8,OTHER
Q14FD6,OTHER
P0DV82,OTHER
Q8HG02,OTHER
P81833,OTHER
P15871,OTHER
P81029,OTHER
P10625,OTHER
A0A5P9K470,SP
P82780,OTHER
B1WZK3,OTHER
Q25BI4,OTHER
W4VSF6,SP
P60207,OTHER
Q10139,OTHER
E1AXF5,SP
Q9X7I5,OTHER
P84919,OTHER
Q06139,OTHER
P80838,OTHER
Q01790,OTHER
P07470,OTHER
Q8CUT7,OTHER
C0HM26,OTHER
P0DM74,OTHER
P14442,OTHER
Q9CQ75,OTHER
P53305,OTHER
P82542,OTHER
P86819,OTHER
Q03067,OTHER
P12633,OTHER
Q9ZZ50,OTHER
P86533,OTHER
D0NIY2,SP
P83128,OTHER
P81071,OTHER
P0C2V2,OTHER
B8QG00,SP
A6H5J7,OTHER
P82313,OTHER
P82300,OTHER
P15220,OTHER
P0DKL8,OTHER
Q9TLQ9,OTHER
P0CJ32,OTHER
Q5G8A8,SP
C7B247,SP
B1XJ18,OTHER
C4R127,OTHER
P37854,OTHER
Q5SCW1,OTHER
P69733,OTHER
P56529,SP
Q4VZM8,OTHER
P0DUK8,OTHER
G9I929,SP
Q3E846,OTHER
P41552,OTHER
P82342,OTHER
A0A348G5V8,SP
P85434,OTHER
P69013,OTHER
Q6B8W1,OTHER
Q85FI0,OTHER
P85041,OTHER
F4IIS6,OTHER
P81417,SP
P43175,OTHER
P48895,OTHER
P32423,OTHER
O16829,SP
Q8HYS0,SP
P68726,SP
Q9BKU8,OTHER
P0DL24,OTHER
P08608,OTHER
Q5VSB5,OTHER
P0DL05,OTHER
Q9PRT7,OTHER
C0HM35,OTHER
P84062,OTHER
Q8HS08,OTHER
A2CI66,OTHER
Q7U9C4,OTHER
P45407,OTHER
P83435,OTHER
G1SF08,OTHER
A5A615,OTHER
P50229,SP
Q9TJQ6,OTHER
P80329,OTHER
Q85FZ3,OTHER
P83390,OTHER
P35094,OTHER
P09190,OTHER
G4V3T9,OTHER
Q0P3J8,OTHER
D4YWD1,OTHER
B2CS62,OTHER
P0CI11,OTHER
Q10996,OTHER
P45658,SP
P0DTM3,OTHER
P51225,OTHER
P14455,OTHER
P56274,OTHER
P85490,OTHER
B1NWH2,OTHER
P01379,SP
P85356,OTHER
Q9Y5J7,OTHER
P0CAP0,OTHER
P01452,OTHER
Q8AIH9,OTHER
P61850,OTHER
P11160,OTHER
P13858,OTHER
P83112,OTHER
A6MW19,OTHER
P17722,SP
Q38623,OTHER
P56676,SP
C0HLR6,OTHER
P30438,SP
O61668,SP
O78459,OTHER
P0CG44,OTHER
P51390,OTHER
P57744,OTHER
B8HVK3,OTHER
Q20EX5,OTHER
P48117,OTHER
P22827,OTHER
P0DJP5,OTHER
P34950,OTHER
F5CPE0,SP
D0EXD3,SP
P26477,OTHER
Q5SCY5,OTHER
B3EWQ8,OTHER
P00298,OTHER
C0HK86,OTHER
Q9XZL3,SP
P0DSI4,SP
P85218,OTHER
P83362,OTHER
P10489,OTHER
Q9PRZ6,OTHER
P83893,OTHER
Q7S5W0,OTHER
P12864,OTHER
P82141,OTHER
P84736,OTHER
P84382,OTHER
P68992,OTHER
O56124,OTHER
A5GUN3,OTHER
P18312,OTHER
P0C234,OTHER
P60993,OTHER
C4PWC4,SP
P21654,SP
P58752,OTHER
Q91VD6,SP
Q56226,OTHER
Q0G9H9,OTHER
P0CAR3,OTHER
P15221,OTHER
Q85FZ4,OTHER
P61542,OTHER
P41314,OTHER
C0HK85,OTHER
P77799,OTHER
Q57755,OTHER
P10846,OTHER
Q09FP9,OTHER
P01394,OTHER
P69593,OTHER
P01097,OTHER
P81123,OTHER
P46687,SP
Q3BAR0,OTHER
P86105,OTHER
C0HJH7,OTHER
Q9TL12,OTHER
Q31RR3,OTHER
P0C246,OTHER
Q16627,SP
Q9NZ42,OTHER
D0N0I9,SP
P0DTM2,OTHER
Q4G3B2,OTHER
P0C911,OTHER
P83211,OTHER
P15789,OTHER
P83619,OTHER
P09036,SP
P07490,SP
P86157,OTHER
P56920,OTHER
Q0IDC9,OTHER
P0DL41,OTHER
P81603,SP
P84112,OTHER
B5KM66,OTHER
P82210,OTHER
C0HKQ2,OTHER
P01418,OTHER
Q963A9,SP
Q6B947,OTHER
Q99MH3,SP
D3ZVP0,SP
Q6B8V0,OTHER
P30348,SP
P84442,OTHER
P86135,OTHER
Q9MS60,OTHER
